score 	 sentence_1 	 sentence_2
0.9 	 Zimmerman replied, "What are you doing here?"	Martin said, "Why are you following me?" 
1.6 	 I don't know how legitimate this is, but I heard he's kind of suicidal.	So, I don't know how legitimate this is but yeah. 
4.8 	 council tax Hasn't council tax been frozen for most people?	Hasn't council tax been frozen for most people? 
0.4 	 Your schtick is getting stale.	Your misogyny is getting messy. 
1.6 	 Is that how it works?	Nah, that's not how it works. 
4.4 	 Breathe In, Breathe Out, Move On.	buwhahahaha Breathe In, Breathe Out, Move On. 
3.8 	 wait until they become more consistent and closer together.	wait for the contractions to get stronger and closer together. 
4.8 	 Obama is extreme and leftwing.	Obama is part of the extreme leftwing. 
2.5 	 @Frank Apisa, What you want to call it is up to you.	@Cyracuz, What you want to call it is up to you. 
2.6 	 Jury nullification has NOTHING to do with the Constitutionality of laws.	Jury nullification means a law isn't Constitutional? 
4.4 	 What conviction where you talking about before?	What conviction would that be? 
4.6 	 So I actually read the OP and guess what I found out.	Furthermore I found this: So I actually read the OP and guess what I found out. 
3.6 	 The government does not determine if you are married or not.	The government doesnt have to declare you married before you can be married. 
1.8 	 Democracy is a threat to liberty.	Democracy has nothing to do with liberty. 
4 	 Hi Pro and Corn: How many threads do you plan on making?	How many threads do you plan on making? 
4 	 Tell me exactly which system isn't working right now?	So which system isn't working for us? 
4 	 Oh, and again asserts that marriage is a fundamental human right.	Particularly after stating that marriage is a fundamental human right. 
4.2 	 Why are Russians in Damascus?	Russians in Damascus! 
1.8 	 Yes, it's about dilution.	Er, that's not how dilution works. 
3.8 	 Yeah, I don't think this is that controversial either.	I don't think what she's saying is that controversial. 
4 	 Operation Chaos is merely people voting.	Chaos is merely people voting. 
1.2 	 Originally Posted by JonD Doubtful.	Originally Posted by eleanor.ellis 
3 	 Classical Gas We are all vessels filled with many wonders.	The theme song to Cheers: We are all vessels filled with many wonders. 
4.5 	 to repeat: They are NOT as sovereign as they were before.	They are NOT as sovereign as they were before. 
2 	 Morals have absolutely nothing to do with it !	and morals and honesty have everything to do with it. 
3 	 i be having conversations will cornell west My dear brother.	i be having conversations will cornell west What the hell is this? 
4.6 	 There is no war in the Middle east.	There is no "WAR" in the middle east. 
2.4 	 He had no intention of apprehending him.	- I didnt say he planned on apprehending him. 
3.6 	 We are all vessels filled with many wonders.	Put a Little Love in your Heart We are all vessels filled with many wonders. 
2.4 	 You're "a bunch of cells."	I'm "a bunch of cells." 
1.4 	 What is a girl douche?	You are a girl douche. 
2 	 Jury nullification means a law isn't Constitutional?	No. Jury nullification does not mean that a law is unconstuitutional. 
4 	 It's definitely NOT what it used to be.	voted Voted It's definitely NOT what it used to be. 
3.4 	 The onus is on the manufacturer of a product to convince consumers it is safe.	The manufacturer has to convince the government it's safe. 
0.8 	 I think you are missing the point with entrepreneurs.	Again I think you are missing the point on the Twain quote. 
1.6 	 "Cyclopes don't exist" - fine.	"Goblins don't exist" - fine. 
1.6 	 "In  it was a mental illness, now what are they teaching you?"	He stated that it was a mental illness in , how is that bigotry? 
1.8 	 Landon And So This is Christmas We are all vessels filled with many wonders.	Play With Fire We are all vessels filled with many wonders. 
1.8 	 Bush gets zero credit for the budget under him.	And, Obama gets zero credit for the budget under him. 
1.8 	 . Sinful people do not get to heaven.	Or sin is removed upon entry to heaven. 
3 	 How long after the obliteration should the kid return to school?	How long after the obliteration should it no longer bother the kid? 
3.8 	 Holly Holy We are all vessels filled with many wonders.	Say What You Will We are all vessels filled with many wonders. 
1.2 	 What was the "answer" in Chicago?	What will be the response in California? 
4.2 	 The entire thing just makes no sense.	See that makes no sense. 
4.8 	 Who supposedly operated the homicidal gas chambers?	Refresh your memory: Who supposedly operated the homicidal gas chambers? 
3.6 	 Therefore, the explanation of the existence of the universe is God.	If the universe has an explanation of its existence, that explanation is God. 
1.4 	 Genetic predisposition to cancer resistance is superior genetics.	Genetic predisposition to Alzheimer is inferior genetics. 
4.57142857142857 	 Do you notice the nonsensical things you are saying?	And to be fair, do you notice the nonsensical things you are saying? 
1.2 	 Use of force in defense of person.-A	Use of force by aggressor. 
3.6 	 That's what the data available shows.	That's what the historical record shows. 
3 	 Joy to the World We are all vessels filled with many wonders.	The theme song to Cheers: We are all vessels filled with many wonders. 
2.6 	 I thought that was mostly just the Dutch.	In fact, it's just the Dutch. 
2.2 	 Ive watched kids play.	I like watching kids play. 
4.8 	 David @OmSigDAVID, I think Santorum's more likely than Gingrich.	@sozobe, I think Santorum's more likely than Gingrich. 
2.8 	 They're looking at each other!	Why are they looking at each other like that ?!?! 
2.6 	 Are you driving one?	Are you driving a fucking Volt? 
1.4 	 Religion that does that I have a problem with.	Irreligion that doesn't do that I don't have a problem with. 
1.6 	 I think he'd be better for American business interests overall.	Would he be better for American society? 
4.4 	 not a constitutional issue.	again, this is not a constitutional issue. 
4.2 	 YOU FOOLS..bought the  cover-up..hook..	Hi Eots: YOU FOOLS..bought the  cover-up..hook.. 
1.6 	 "What does pressing the number one do?"	"Pressing the number one does English." 
4.4 	 What conviction would that be?	What conviction where you talking about before? 
3.8 	 Originally Posted by spikdboy Not wishful thinking, rather realistic.	Originally Posted by objectivism Not wishful thinking, rather realistic. 
3.4 	 For the trillionth time, I've never said rehabilitation doesn't work.	The point you quote should say "I never said rehabilitation could never work." 
3 	 Charlie Rangel Censured Did anyone see the footage of this?	Did anyone see the footage of this? 
2 	 Red October standing by.	Red Fox standing by. 
3.2 	 That's just not how legal briefs are written.	That just isn't how legal reasoning works. 
3 	 No, none of those factors account for the recent warming.	You don't know if those factors account for the warming, or not. 
3.4 	 Stone notified Captain Lord.	He too notified Captain Lord. 
2.2 	 The primary focus of Systematic Dialectics is syn chronic, not dia chronic.	Thus, Meta - System - atic Dialectic is Diachronico - Synchronic Dialectic. 
2.6 	 Are you driving one?	Are you driving a fucking Volt? 
0.8 	 And that is happening in GOP controlled states.	Michigan IS a GOP controlled state. 
4.2 	 in  Foxe basin was frozen.	 Foxe was mostly frozen. 
4.2 	 @Frank Apisa, Frank, I observe and perceive.	@cicerone imposter, Frank, I observe and perceive. 
1.2 	 Government deciding what pregnancies need to be carried to term, that's fine.	Government spying on its own citizens, that's fine. 
2.8 	 Put a Little Love in your Heart We are all vessels filled with many wonders.	Landon And So This is Christmas We are all vessels filled with many wonders. 
1 	 Higher than  per cent but not very high.	Lower than  per cent but not very low. 
1.6 	 What isn't how what was sold?	It's not how it was sold, gb. 
2.6 	 God definately does not exist.	God probably does not exist. 
4.4 	 Breathe In, Breathe Out, Move On.	buwhahahaha Breathe In, Breathe Out, Move On. 
2 	 It is an excellent indicator of climate change.	I think we all agree on the nature of the change. 
1.8 	 The great thing about living here is there's space.	The bad thing is there's space. 
4.5 	 Ah ha, ha, ha, ha, ha!	Ha, ha, ha, ha, ha, ha! 
3.8 	 I don't understand how freedom of speech will be prohibited.	Your freedom of speech will be no more prohibited than it is today. 
3.2 	 The question needs to be asked.	It is a question that needs to be answered. 
2.8 	 You purport to value life very heavily.	I purport to value human life very highly. 
1.8 	 The Infestation posts.	The mosquitoes posts. 
4.6 	 i don't want a president who 'cares'.	don't want a president that is compassionate. 
2.4 	 do you have anything to make it less compelling or not?	Do you have anything to make it more compelling? 
3.4 	 For the trillionth time, I've never said rehabilitation doesn't work.	The point you quote should say "I never said rehabilitation could never work." 
2.4 	 Classical Gas We are all vessels filled with many wonders.	Time of the Season by the Zombies We are all vessels filled with many wonders. 
4 	 peeve So we agree that it came down essentially in freefall?	Do we agree that they came down essentially in freefall? 
1 	 Pro-life people do not want a woman to be able to choose abortion for herself.	Pro-choice people do not try to force an abortion on anyone. 
3.4 	 So answer the question.	Stop avoiding the question. 
4.2 	 Haiti is a shithole.	Haiti has been a shithole. 
1.2 	 I absolutely do believe there was an iceberg in those waters.	I don't believe there was any iceberg at all anywhere near the Titanic. 
4.4 	 The Face Of The Franchise: The worst part is that he's not even a Leafs fan!	The worst part is that he's not even a Leafs fan! 
4 	 I agree completely I am hoping he is into a second term of office.	I am hoping he is into a second term of office. 
0.4 	 Jake with the assist.	Voracek with the goal. 
3.2 	 Is it possible his home was affected and the school was not?	Sure, it is possible his home was affected, but not the school. 
4.2 	 The people had awakened.	Because the people had awakened. 
4 	 Umm the California was a cargo ship I dont care what the article says.	The California was a cargo ship. 
2.6 	 Umm, that pretty clearly states, "the statute is presumed constitutional."	And until they decide that, "the statute is presumed constitutional." 
3.4 	 Florida The ignorance is yours!	The ignorance is yours! 
1.6 	 I'm going to shout for justice for Trayvon.	The people shouting for justice for Trayvon are all hypocrites. 
